DATE,AWAY_TEAM,HOME_TEAM
Jan 17 2023,TOR,MIL
Jan 17 2023,BRK,SAS
Jan 17 2023,POR,DEN
Jan 17 2023,PHI,LAC
Jan 18 2023,ATL,DAL
Jan 18 2023,WAS,NYK
Jan 18 2023,CHO,HOU
Jan 18 2023,CLE,MEM
Jan 18 2023,MIA,NOP
Jan 18 2023,IND,OKC
Jan 18 2023,LAC,UTA
Jan 18 2023,MIN,DEN
Jan 18 2023,SAC,LAL
Jan 19 2023,CHI,DET
Jan 19 2023,GSW,BOS
Jan 19 2023,TOR,MIN
Jan 19 2023,BRK,PHO
Jan 19 2023,PHI,POR
Jan 20 2023,NOP,ORL
Jan 20 2023,NYK,ATL
Jan 20 2023,GSW,CLE
Jan 20 2023,MIA,DAL
Jan 20 2023,LAC,SAS
Jan 20 2023,IND,DEN
Jan 20 2023,BRK,UTA
Jan 20 2023,MEM,LAL
Jan 20 2023,OKC,SAC
Jan 21 2023,BOS,TOR
Jan 21 2023,ORL,WAS
Jan 21 2023,CHO,ATL
Jan 21 2023,MIL,CLE
Jan 21 2023,HOU,MIN
Jan 21 2023,IND,PHO
Jan 21 2023,PHI,SAC
Jan 22 2023,LAC,DAL
Jan 22 2023,NOP,MIA
Jan 22 2023,NYK,TOR
Jan 22 2023,OKC,DEN
Jan 22 2023,MEM,PHO
Jan 22 2023,BRK,GSW
Jan 22 2023,LAL,POR
Jan 23 2023,MIL,DET
Jan 23 2023,BOS,ORL
Jan 23 2023,ATL,CHI
Jan 23 2023,MIN,HOU
Jan 23 2023,CHO,UTA
Jan 23 2023,SAS,POR
Jan 23 2023,MEM,SAC
Jan 24 2023,CHI,IND
Jan 24 2023,BOS,MIA
Jan 24 2023,CLE,NYK
Jan 24 2023,DEN,NOP
Jan 24 2023,WAS,DAL
Jan 24 2023,CHO,PHO
Jan 24 2023,LAC,LAL
Jan 25 2023,IND,ORL
Jan 25 2023,BRK,PHI
Jan 25 2023,WAS,HOU
Jan 25 2023,DEN,MIL
Jan 25 2023,MIN,NOP
Jan 25 2023,ATL,OKC
Jan 25 2023,MEM,GSW
Jan 25 2023,UTA,POR
Jan 25 2023,TOR,SAC
Jan 25 2023,SAS,LAL
Jan 26 2023,NYK,BOS
Jan 26 2023,DET,BRK
Jan 26 2023,CHI,CHO
Jan 26 2023,CLE,HOU
Jan 26 2023,DAL,PHO
Jan 26 2023,SAS,LAC
Jan 27 2023,MIL,IND
Jan 27 2023,MEM,MIN
Jan 27 2023,ORL,MIA
Jan 27 2023,CLE,OKC
Jan 27 2023,TOR,GSW
Jan 28 2023,DEN,PHI
Jan 28 2023,NYK,BRK
Jan 28 2023,HOU,DET
Jan 28 2023,CHI,ORL
Jan 28 2023,LAC,ATL
Jan 28 2023,SAC,MIN
Jan 28 2023,WAS,NOP
Jan 28 2023,PHO,SAS
Jan 28 2023,LAL,BOS
Jan 28 2023,DAL,UTA
Jan 28 2023,TOR,POR
Jan 29 2023,MIA,CHO
Jan 29 2023,IND,MEM
Jan 29 2023,LAC,CLE
Jan 29 2023,NOP,MIL
Jan 30 2023,ORL,PHI
Jan 30 2023,LAL,BRK
Jan 30 2023,SAC,MIN
Jan 30 2023,GSW,OKC
Jan 30 2023,WAS,SAS
Jan 30 2023,DET,DAL
Jan 30 2023,TOR,PHO
Jan 30 2023,ATL,POR
Jan 31 2023,MIA,CLE
Jan 31 2023,LAL,NYK
Jan 31 2023,LAC,CHI
Jan 31 2023,CHO,MIL
Jan 31 2023,NOP,DEN
Feb 1 2023,POR,MEM
Feb 1 2023,ORL,PHI
Feb 1 2023,BRK,BOS
Feb 1 2023,OKC,HOU
Feb 1 2023,GSW,MIN
Feb 1 2023,SAC,SAS
Feb 1 2023,TOR,UTA
Feb 1 2023,ATL,PHO
Feb 2 2023,LAL,IND
Feb 2 2023,MEM,CLE
Feb 2 2023,MIA,NYK
Feb 2 2023,CHO,CHI
Feb 2 2023,NOP,DAL
Feb 2 2023,GSW,DEN
Feb 2 2023,LAC,MIL
Feb 3 2023,CHO,DET
Feb 3 2023,SAC,IND
Feb 3 2023,POR,WAS
Feb 3 2023,PHO,BOS
Feb 3 2023,TOR,HOU
Feb 3 2023,ORL,MIN
Feb 3 2023,PHI,SAS
Feb 3 2023,ATL,UTA
Feb 4 2023,WAS,BRK
Feb 4 2023,LAL,NOP
Feb 4 2023,PHO,DET
Feb 4 2023,LAC,NYK
Feb 4 2023,POR,CHI
Feb 4 2023,MIA,MIL
Feb 4 2023,HOU,OKC
Feb 4 2023,DAL,GSW
Feb 4 2023,ATL,DEN
Feb 5 2023,ORL,CHO
Feb 5 2023,CLE,IND
Feb 5 2023,TOR,MEM
Feb 5 2023,PHI,NYK
Feb 5 2023,DEN,MIN
Feb 5 2023,SAC,NOP
Feb 6 2023,BOS,DET
Feb 6 2023,CLE,WAS
Feb 6 2023,LAC,BRK
Feb 6 2023,SAS,CHI
Feb 6 2023,SAC,HOU
Feb 6 2023,DAL,UTA
Feb 6 2023,OKC,GSW
Feb 6 2023,MIL,POR
Feb 7 2023,NYK,ORL
Feb 7 2023,PHO,BRK
Feb 7 2023,ATL,NOP
Feb 7 2023,CHI,MEM
Feb 7 2023,MIN,DEN
Feb 7 2023,OKC,LAL
Feb 8 2023,DET,CLE
Feb 8 2023,CHO,WAS
Feb 8 2023,PHI,BOS
Feb 8 2023,IND,MIA
Feb 8 2023,SAS,TOR
